SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength
uthrilla,2.04,7.2,7.6,8.3,0,5,4,1,0,70,3,11,143,11,2,19,4,5,44,201086,281423,53552,168.33,135210,2062.8
PrismEntity,1.59,1.5,6.4,8.7,2,0,0,1,7,20,6,9,140,3,0,12,1,2,47,92091,271566,52087,113.18,98246,2024.3
LovableRussian,1.37,3.1,9.4,9.8,0,3,2,1,4,20,7,32,145,4,0,14,0,3,48,156950,310917,82625,75.63,110854,2148.7
vETv,1.17,4.1,8.1,5.4,5,1,4,0,0,30,2,31,102,3,1,11,3,2,41,129413,193273,19593,15.27,88618,1695.7
ShoulderToCry,3,5.4,3.9,6.3,8,0,0,1,1,70,8,28,127,16,2,17,3,3,38,190150,231626,23495,120.68,122704,1971.2
DunkinHymens,2.73,4.2,5.1,9.7,0,6,0,1,3,40,2,10,82,3,0,5,1,3,52,151233,255709,62332,67.18,109336,1949.5
JelloBuns,6.12,4.5,3.4,16.3,5,5,0,0,0,90,20,39,119,5,2,25,2,10,62,133171,298323,52596,132.12,136124,2361.3
Calfbrah,2.98,5.9,5.6,10.8,6,0,4,0,0,40,9,44,124,9,0,18,1,7,49,191338,270679,47465,92.88,132495,2287.7
Polite Heathen,2.24,6.4,7,9.3,1,8,0,1,0,40,0,12,53,7,0,12,1,3,53,175443,306282,84440,76.53,131293,2268.9
OhaiyouUW,4.11,4.1,3.5,10.3,5,5,0,0,0,40,15,25,109,7,2,17,3,5,52,131841,225615,39170,57.05,114254,1984.8
BLCabeldank,1.82,4.4,6.5,7.4,5,3,2,0,0,40,10,13,59,7,2,13,1,4,43,139839,248728,38629,60.5,116233,2005.3
Insignia12,3.39,7,3.6,5.2,5,4,1,0,0,50,17,25,103,5,1,14,2,2,49,182399,230872,66139,83.78,116771,1892.3
GinWuncler,2.79,4.8,5.6,10.8,0,8,1,1,0,50,1,34,95,12,4,23,4,5,60,162870,340397,94080,85.42,120521,1968.3
SHOCKTOPZZ,3.2,8,5.6,9.9,0,5,0,5,0,60,0,17,53,18,4,20,2,6,55,183080,299043,73815,79.97,130690,2118.2
Graviityy,2.78,7.5,4.1,3.9,8,1,1,0,0,70,8,55,107,19,3,12,6,2,42,174860,253233,28435,66.9,119673,1740.6
